id,name,parent_id,position,real_depth,class_one,deleted_at
1,医薬品・指定医薬部外品,,0,,0,
2,医療雑貨,,1,,0,
3,健康食品,,2,,0,
4,化粧品,,3,,0,
5,日用品,,4,,0,
6,食品・飲料(ケース販売),,6,,0,
7,食品,,5,,0,
11,栄養ドリンク,1,6,,0,
12,ビタミン剤,1,5,,0,
13,漢方薬・生薬,1,22,,0,
14,目薬,1,10,,0,
15,胃腸薬,1,23,,0,
16,整腸剤,1,21,,0,
17,便秘薬・浣腸,1,20,,0,
18,下痢止め,1,19,,0,
19,肩こり・腰痛・筋肉痛,1,18,,0,
20,風邪薬,1,2,,0,
21,せき・たん,1,3,,0,
22,のど・口中・はみがき,1,17,,0,
24,こどものくすり,1,16,,0,
25,痛み止め・解熱,1,7,,0,
26,睡眠改善薬,1,15,,0,
27,乗物酔い止め,1,14,,0,
28,眠気防止,1,13,,0,
29,皮膚薬,1,12,,0,
30,水虫,1,11,,0,
31,殺虫剤・虫よけ,1,25,,0,
32,キズ薬・キズ口消毒,1,9,,0,
33,手指消毒・器具消毒,1,1,,0,
34,育毛・養毛剤,1,8,,0,
35,検査薬,1,24,,0,
36,その他の医薬品,1,26,,0,
37,くしゃみ・鼻水・鼻づまり,1,4,,0,
38,第一類医薬品,1,0,,1,
51,測定器,2,21,,0,
52,衛生用品,2,20,,0,
53,マスク,2,1,,0,
54,はみがき,2,2,,0,
55,包帯・テープ・ガーゼ,2,19,,0,
56,サポーター・テーピング,2,18,,0,
57,綿棒・ばんそうこう,2,17,,0,
58,介護おむつ・尿とりパット,2,9,,0,
59,避妊用品・潤滑剤,2,16,,0,
60,温熱用品,2,15,,0,
61,冷却用品,2,14,,0,
62,磁気・お灸,2,13,,0,
63,コンタクト用品,2,8,,0,
64,介護雑貨,2,11,,0,
65,洗口液・液体ハミガキ,2,4,,0,
66,デンタル用品,2,5,,0,
67,入れ歯用品,2,6,,0,
68,安眠・いびき対策,2,12,,0,
69,軽失禁,2,10,,0,
70,その他の医療雑貨,2,22,,0,
81,ビタミン,3,1,,0,
82,ミネラル,3,16,,0,
83,アミノ酸,3,8,,0,
84,必須脂肪酸・健康油,3,6,,0,
85,コンドロイチン・グルコサミン,3,7,,0,
86,プロバイオティクス,3,4,,0,
87,ウコン・植物由来,3,15,,0,
88,滋養,3,14,,0,
89,酵素,3,13,,0,
90,お酢,3,12,,0,
91,栄養調整食品,3,11,,0,
92,ダイエット食品,3,10,,0,
93,美容,3,9,,0,
94,健康茶,3,5,,0,
95,青汁,3,2,,0,
96,プロテイン,3,3,,0,
97,その他の健康食品,3,17,,0,
101,化粧水,4,7,,0,
102,乳液,4,8,,0,
103,美容液,4,9,,0,
104,クリーム,4,13,,0,
105,洗顔料,4,12,,0,
106,クレンジング,4,15,,0,
107,パック・マスク,4,11,,0,
108,日焼け止め,4,0,,0,
109,男性化粧品,4,38,,0,
110,リップクリーム,4,16,,0,
111,ハンドクリーム,4,14,,0,
112,ボディクリーム・ミルク,4,10,,0,
113,ヘアスタイリング,4,4,,0,
114,ヘアカラー,4,37,,0,
115,シャンプー・トリートメント,4,2,,0,
116,ボディソープ,4,5,,0,
117,石鹸・ハンドソープ,4,6,,0,
118,入浴剤,4,36,,0,
119,バス用品,4,35,,0,
120,フットケア,4,34,,0,
121,化粧下地,4,19,,0,
122,BB・CCクリーム,4,18,,0,
123,ファンデーション,4,17,,0,
124,フェイスパウダー,4,20,,0,
125,コンシーラー・ハイライト,4,21,,0,
126,口紅,4,22,,0,
127,チーク,4,25,,0,
128,アイメイク,4,23,,0,
129,メイク道具,4,26,,0,
130,ヘアアクセサリー・小物,4,31,,0,
131,デオドラント・制汗,4,1,,0,
132,脱毛・除毛,4,33,,0,
133,フレグランス・香水,4,32,,0,
134,ネイル,4,24,,0,
136,その他の化粧品,4,39,,0,
137,ヘアケア(アウトバス),4,3,,0,
138,女性用育毛剤,4,28,,0,
139,男性カミソリ,4,29,,0,
140,女性カミソリ,4,30,,0,
141,男性育毛剤,4,27,,0,
150,ベビー用品・おむつ,5,39,,0,
151,ベビーフード,5,38,,0,
152,ベビー用品,5,37,,0,
153,ペットフード,5,36,,0,
154,ペット用品,5,35,,0,
155,トイレットペーパー,5,34,,0,
156,ティッシュペーパー,5,33,,0,
157,キッチンペーパー,5,32,,0,
158,ウェットティッシュ,5,31,,0,
159,生理用品,5,30,,0,
160,台所・食器洗剤,5,29,,0,
161,住宅洗剤,5,28,,0,
162,トイレ洗剤,5,27,,0,
163,芳香剤・消臭剤,5,26,,0,
164,防虫・除湿財,5,25,,0,
165,衣料洗剤,5,24,,0,
166,柔軟剤・漂白剤,5,23,,0,
167,キッチン用品,5,22,,0,
168,ラップ・ホイル,5,20,,0,
169,卓上用品,5,21,,0,
170,調理器具,5,19,,0,
171,行楽用品,5,18,,0,
172,清掃用品,5,17,,0,
173,洗濯用品,5,16,,0,
174,風呂用品,5,15,,0,
175,トイレ用品,5,14,,0,
176,収納,5,13,,0,
177,電材,5,12,,0,
178,DIY・園芸用品,5,11,,0,
179,文具,5,10,,0,
180,ごみ袋,5,9,,0,
181,靴下,5,8,,0,
182,スリッパ,5,7,,0,
183,肌着,5,6,,0,
184,部屋着,5,5,,0,
185,パンスト,5,4,,0,
186,エプロン,5,3,,0,
187,その他の日用品,5,40,,0,
757,コンタクトレンズ,2,7,,0,
758,資生堂,4,40,,0,
759,コーセー,4,41,,0,
760,カネボウ,4,43,,0,
761,ソフィーナ,4,42,,0,
762,動物用医薬品,,7,,0,
763,カイロ,5,2,,0,
764,ちふれ,4,44,,0,
765,はぶらし,2,3,,0,
766,タオル,5,1,,0,
767,エリクシールシュペリエル,758,2,,0,
768,スキンクリエーター,758,0,,0,
769,HAKU,758,6,,0,
770,エリクシールホワイト,758,3,,0,
771,マキアージュ,758,8,,0,
772,インテグレート,758,12,,0,
773,インテグレートグレイシィ,758,11,,0,
774,プリオール,758,10,,0,
775,スノービューティ,758,1,,0,
776,アンテリージェ,759,0,,0,
777,エスプリーク,759,2,,0,
778,ワンバイコーセー,759,1,,0,
779,雪肌精,759,3,,0,
780,その他,759,8,,0,
781,エリクシールルフレ,758,5,,0,
782,アネッサ,758,9,,0,
783,リバイタル,758,7,,0,
784,フォルミュール,759,7,,0,
785,その他,758,13,,0,
786,ルシェリ,759,4,,0,
787,カルテクリニティ,759,5,,0,
789,殺虫剤・虫よけ,5,0,,0,
790,IP,761,1,,0,
791,ボーテ,761,4,,0,
792,プリマヴィスタ,761,0,,0,
793,バイタルリッチ,761,2,,0,
794,ライズ,761,5,,0,
795,グレイス,761,3,,0,
796,その他,761,6,,0,
797,シリーズサプリメント,3,0,,0,
798,Dプログラム,758,4,,0,
801,その他男性化粧品,109,14,,0,
802,シェービング用品,109,13,,0,
803,ボディケア,109,12,,0,
804,その他スキンケア,109,11,,0,
805,フェイスシート,109,9,,0,
806,クリーム・マスク,109,8,,0,
807,化粧水・乳液,109,7,,0,
808,洗顔,109,6,,0,
809,その他ヘアケア,109,5,,0,
810,ヘアスプレー・ミスト・フォーム,109,4,,0,
811,ポマード・グリース,109,3,,0,
812,ヘアクリーム・ワックス,109,2,,0,
813,ヘアリキッド,109,1,,0,
814,ヘアトニック,109,0,,0,
815,制汗・フレグランス,109,10,,0,
816,コフレドール,760,0,,0,
817,その他カネボウ,760,8,,0,
818,エビータ,760,7,,0,
819,アリー,760,6,,0,
820,メディア,760,5,,0,
821,ケイト,760,4,,0,
822,フリープラス,760,3,,0,
823,スイサイ,760,2,,0,
824,ブランシール,760,1,,0,
825,除菌・抗菌,2,0,,0,
826,ファシオ,759,6,,0,
827,特売商品,,0,,0,